Date,Time,ms,LEVEL,TEMPERATURE,
7/10/2019,11:57:00 AM,0,0.1068,10.132,7/10/19 11:57:00
7/10/2019,12:12:00 PM,0,0.0723,8.1,7/10/19 12:12:00
7/10/2019,12:27:00 PM,0,0.0703,8.231,7/10/19 12:27:00
7/10/2019,12:42:00 PM,0,0.0645,9.05,7/10/19 12:42:00
7/10/2019,12:57:00 PM,0,0.0801,9.743,7/10/19 12:57:00
7/10/2019,1:12:00 PM,0,0.058,9.046,7/10/19 13:12:00
7/10/2019,1:27:00 PM,0,0.0417,9.308,7/10/19 13:27:00
7/10/2019,1:42:00 PM,0,0.0459,10.837,7/10/19 13:42:00
7/10/2019,1:57:00 PM,0,0.2622,11.693,7/10/19 13:57:00
7/10/2019,2:12:00 PM,0,0.2801,11.93,7/10/19 14:12:00
7/10/2019,2:27:00 PM,0,0.269,12.111,7/10/19 14:27:00
7/10/2019,2:42:00 PM,0,0.2566,12.238,7/10/19 14:42:00
7/10/2019,2:57:00 PM,0,0.2528,12.04,7/10/19 14:57:00
7/10/2019,3:12:00 PM,0,0.279,11.804,7/10/19 15:12:00
7/10/2019,3:27:00 PM,0,0.2453,11.583,7/10/19 15:27:00
7/10/2019,3:42:00 PM,0,0.2241,11.368,7/10/19 15:42:00
7/10/2019,3:57:00 PM,0,0.2456,11.249,7/10/19 15:57:00
7/10/2019,4:12:00 PM,0,0.2448,11.215,7/10/19 16:12:00
7/10/2019,4:27:00 PM,0,0.2045,11.054,7/10/19 16:27:00
7/10/2019,4:42:00 PM,0,0.2211,10.843,7/10/19 16:42:00
7/10/2019,4:57:00 PM,0,0.2016,10.571,7/10/19 16:57:00
7/10/2019,5:12:00 PM,0,0.1944,10.375,7/10/19 17:12:00
7/10/2019,5:27:00 PM,0,0.177,10.129,7/10/19 17:27:00
7/10/2019,5:42:00 PM,0,0.211,9.861,7/10/19 17:42:00
7/10/2019,5:57:00 PM,0,0.1915,9.554,7/10/19 17:57:00
7/10/2019,6:12:00 PM,0,0.1762,9.28,7/10/19 18:12:00
7/10/2019,6:27:00 PM,0,0.1815,9.02,7/10/19 18:27:00
7/10/2019,6:42:00 PM,0,0.1819,8.777,7/10/19 18:42:00
7/10/2019,6:57:00 PM,0,0.1569,8.536,7/10/19 18:57:00
7/10/2019,7:12:00 PM,0,0.1754,8.305,7/10/19 19:12:00
7/10/2019,7:27:00 PM,0,0.1819,8.092,7/10/19 19:27:00
7/10/2019,7:42:00 PM,0,0.1275,7.897,7/10/19 19:42:00
7/10/2019,7:57:00 PM,0,0.1243,7.701,7/10/19 19:57:00
7/10/2019,8:12:00 PM,0,0.1008,7.491,7/10/19 20:12:00
7/10/2019,8:27:00 PM,0,0.1522,7.272,7/10/19 20:27:00
7/10/2019,8:42:00 PM,0,0.1417,7.12,7/10/19 20:42:00
7/10/2019,8:57:00 PM,0,0.1119,6.914,7/10/19 20:57:00
7/10/2019,9:12:00 PM,0,0.0999,6.699,7/10/19 21:12:00
7/10/2019,9:27:00 PM,0,0.1055,6.526,7/10/19 21:27:00
7/10/2019,9:42:00 PM,0,0.0922,6.346,7/10/19 21:42:00
7/10/2019,9:57:00 PM,0,0.0691,6.169,7/10/19 21:57:00
7/10/2019,10:12:00 PM,0,0.0637,6.001,7/10/19 22:12:00
7/10/2019,10:27:00 PM,0,0.0837,5.882,7/10/19 22:27:00
7/10/2019,10:42:00 PM,0,0.0617,5.754,7/10/19 22:42:00
7/10/2019,10:57:00 PM,0,0.0618,5.607,7/10/19 22:57:00
7/10/2019,11:12:00 PM,0,0.0633,5.493,7/10/19 23:12:00
7/10/2019,11:27:00 PM,0,0.0806,5.386,7/10/19 23:27:00
7/10/2019,11:42:00 PM,0,0.0625,5.294,7/10/19 23:42:00
7/10/2019,11:57:00 PM,0,0.03,5.195,7/10/19 23:57:00
7/11/2019,12:12:00 AM,0,0.0501,5.059,7/11/19 00:12:00
7/11/2019,12:27:00 AM,0,0.0361,4.957,7/11/19 00:27:00
7/11/2019,12:42:00 AM,0,0.0556,4.864,7/11/19 00:42:00
7/11/2019,12:57:00 AM,0,0.0589,4.814,7/11/19 00:57:00
7/11/2019,1:12:00 AM,0,0.0204,4.763,7/11/19 01:12:00
7/11/2019,1:27:00 AM,0,0.0328,4.716,7/11/19 01:27:00
7/11/2019,1:42:00 AM,0,0.0198,4.655,7/11/19 01:42:00
7/11/2019,1:57:00 AM,0,0.029,4.598,7/11/19 01:57:00
7/11/2019,2:12:00 AM,0,0.0154,4.496,7/11/19 02:12:00
7/11/2019,2:27:00 AM,0,0.0274,4.401,7/11/19 02:27:00
7/11/2019,2:42:00 AM,0,0.0386,4.374,7/11/19 02:42:00
7/11/2019,2:57:00 AM,0,0.0404,4.291,7/11/19 02:57:00
7/11/2019,3:12:00 AM,0,0.0272,4.215,7/11/19 03:12:00
7/11/2019,3:27:00 AM,0,0.0224,4.147,7/11/19 03:27:00
7/11/2019,3:42:00 AM,0,0.024,4.025,7/11/19 03:42:00
7/11/2019,3:57:00 AM,0,0.0207,3.947,7/11/19 03:57:00
7/11/2019,4:12:00 AM,0,0.0422,3.925,7/11/19 04:12:00
7/11/2019,4:27:00 AM,0,0.026,3.885,7/11/19 04:27:00
7/11/2019,4:42:00 AM,0,0.0151,3.862,7/11/19 04:42:00
7/11/2019,4:57:00 AM,0,0.0358,3.837,7/11/19 04:57:00
7/11/2019,5:12:00 AM,0,0.0502,3.81,7/11/19 05:12:00
7/11/2019,5:27:00 AM,0,0.0332,3.802,7/11/19 05:27:00
7/11/2019,5:42:00 AM,0,0.0417,3.749,7/11/19 05:42:00
7/11/2019,5:57:00 AM,0,0.0544,3.665,7/11/19 05:57:00
7/11/2019,6:12:00 AM,0,0.007,3.624,7/11/19 06:12:00
7/11/2019,6:27:00 AM,0,0.0377,3.562,7/11/19 06:27:00
7/11/2019,6:42:00 AM,0,0.0151,3.504,7/11/19 06:42:00
7/11/2019,6:57:00 AM,0,0.0525,3.45,7/11/19 06:57:00
7/11/2019,7:12:00 AM,0,0.0524,3.407,7/11/19 07:12:00
7/11/2019,7:27:00 AM,0,0.0416,3.352,7/11/19 07:27:00
7/11/2019,7:42:00 AM,0,0.054,3.36,7/11/19 07:42:00
7/11/2019,7:57:00 AM,0,0.0321,3.513,7/11/19 07:57:00
7/11/2019,8:12:00 AM,0,0.0344,3.79,7/11/19 08:12:00
7/11/2019,8:27:00 AM,0,0.0197,4.15,7/11/19 08:27:00
7/11/2019,8:42:00 AM,0,0.0388,4.554,7/11/19 08:42:00
7/11/2019,8:57:00 AM,0,0.0226,4.996,7/11/19 08:57:00
7/11/2019,9:12:00 AM,0,0.0418,5.434,7/11/19 09:12:00
7/11/2019,9:27:00 AM,0,0.0469,5.725,7/11/19 09:27:00
7/11/2019,9:42:00 AM,0,0.0545,5.98,7/11/19 09:42:00
7/11/2019,9:57:00 AM,0,0.0274,6.23,7/11/19 09:57:00
7/11/2019,10:12:00 AM,0,0.0185,6.614,7/11/19 10:12:00
7/11/2019,10:27:00 AM,0,0.0242,7.263,7/11/19 10:27:00
7/11/2019,10:42:00 AM,0,0.0128,7.858,7/11/19 10:42:00
7/11/2019,10:57:00 AM,0,0.0196,8.471,7/11/19 10:57:00
7/11/2019,11:12:00 AM,0,0.0468,9.064,7/11/19 11:12:00
7/11/2019,11:27:00 AM,0,0.0244,9.673,7/11/19 11:27:00
7/11/2019,11:42:00 AM,0,0.0372,10.075,7/11/19 11:42:00
7/11/2019,11:57:00 AM,0,0.0202,10.421,7/11/19 11:57:00
