Station,Date,Time,distance upstream (m),width (cm),Average depth,Thalwag depth,,,,,,,,,,
stn01,7/22/2022,10:10,0,90,12.8,18,,,,,,,,,,
stn01,7/22/2022,10:10,1,55,18.2,13,,,,,,,,,,
stn01,7/22/2022,10:10,2,45,20.8,30,,,,,,,,,,
stn01,7/22/2022,10:10,4,25,4,5,,,,,,,,,,
stn01,7/22/2022,10:10,5,40,15.8,18,,,,,,,,,,
stn01,7/22/2022,10:10,6,55,18.2,13,,,,,,,,,,
stn01,7/22/2022,10:10,8,25,9.6,5,,,,,,,,,,
stn01,7/22/2022,10:10,9,30,13.8,14,,,,,,,,,,
stn01,6/10/2022,13:01,0,95,19.8,20,,,,,,,,,,
stn01,6/10/2022,13:01,1,35,16.8,14,,,,,,,,,,
stn01,6/10/2022,13:01,2,30,16.6,20,,,,,,,,,,
stn01,6/10/2022,13:01,3,40,21.4,30,,,,,,,,,,
stn01,6/10/2022,13:01,4,30,3.8,4,,,,,,,,,,
stn01,6/10/2022,13:01,7,40,8.4,30,,,,,,,,,,
stn01,6/10/2022,13:01,8,40,21.6,32,,,,,,,,,,
stn01,6/10/2022,13:01,9,20,22,23,,,,,,,,,,
stn01,7/12/2022,11:03,0,110,12.4,12,,,,,,,,,,
stn01,7/12/2022,11:03,1,65,17.4,14,,,,,,,,,,
stn01,7/12/2022,11:03,2,40,24.2,15,,,,,,,,,,
stn01,7/12/2022,11:03,3,55,18.8,24,,,,,,,,,,
stn01,7/12/2022,11:03,4,55,18.2,5,,,,,,,,,,
stn01,7/12/2022,11:03,5,110,30,22,,,,,,,,,,
stn01,7/12/2022,11:03,6,70,12.2,10,,,,,,,,,,
stn01,7/12/2022,11:03,7,50,5.6,7,,,,,,,,,,
stn02,7/22/2022,9:19,0,50,22,28,,,,,,,,,,
stn02,7/22/2022,9:19,1,55,20.4,32,,,,,,,,,,
stn02,7/22/2022,9:19,2,75,49,54,,,,,,,,,,
stn02,7/22/2022,9:19,4,60,38.2,37,,,,,,,,,,
stn02,7/22/2022,9:19,5,65,29.6,30,,,,,,,,,,
stn02,7/22/2022,9:19,8,70,22,30,,,,,,,,,,
stn02,7/22/2022,9:19,9,35,21.6,26,,,,,,,,,,
stn02,7/22/2022,9:19,10,30,20.4,26,,,,,,,,,,
stn02,7/12/2022,10:28,1,40,16.8,27,,,,,,,,,,
stn02,7/12/2022,10:28,2,40,7.4,8,,,,,,,,,,
stn02,7/12/2022,10:28,3,65,25.6,31,,,,,,,,,,
stn02,7/12/2022,10:28,5,75,48.2,51,,,,,,,,,,
stn02,7/12/2022,10:28,5.5,80,52,59,,,,,,,,,,
stn02,7/12/2022,10:28,6,75,38.8,40,,,,,,,,,,
stn02,7/12/2022,10:28,7,60,34,33,,,,,,,,,,
stn02,6/30/2022,12:32,0,36,15.2,24,,,,,,,,,,
stn02,6/30/2022,12:32,1,36,5.2,8,,,,,,,,,,
stn02,6/30/2022,12:32,2,73,10,2,,,,,,,,,,
stn02,6/30/2022,12:32,3,84,36.4,44,,,,,,,,,,
stn02,6/30/2022,12:32,4,103,27.2,34,,,,,,,,,,
stn02,6/30/2022,12:32,5,84,29.6,28,,,,,,,,,,
stn02,6/30/2022,12:32,6,85,25.6,28,,,,,,,,,,
stn02,6/30/2022,12:32,7,74,21.4,26,,,,,,,,,,
stn02,6/30/2022,12:32,8,51,22.4,30,,,,,,,,,,
stn02,6/10/2022,12:00,0,35,16.6,28,,,,,,,,,,
stn02,6/10/2022,12:00,0.9,35,3.8,2,,,,,,,,,,
stn02,6/10/2022,12:00,1.8,55,14.8,32,,,,,,,,,,
stn02,6/10/2022,12:00,2.7,60,39.2,42,,,,,,,,,,
stn02,6/10/2022,12:00,3.6,75,39.4,60,,,,,,,,,,
stn02,6/10/2022,12:00,4.5,40,37.2,36,,,,,,,,,,
stn02,6/10/2022,12:00,5.4,65,26.2,30,,,,,,,,,,
stn02,6/10/2022,12:00,6.3,60,30,30,,,,,,,,,,
stn03,6/10/2022,11:19,0,50,16,28,,,,,,,,,,
stn03,6/10/2022,11:19,1.25,35,7,10,,,,,,,,,,
stn03,6/10/2022,11:19,2.5,70,5,3,,,,,,,,,,
stn03,6/10/2022,11:19,3.75,75,12.4,31,,,,,,,,,,
stn03,6/10/2022,11:19,5,60,3.6,4,,,,,,,,,,
stn03,6/10/2022,11:19,6.25,20,3.6,4,,,,,,,,,,
stn03,6/10/2022,11:19,7.5,40,6,7,,,,,,,,,,
stn03,6/10/2022,11:19,8.75,60,17.4,32,,,,,,,,,,
stn03,7/12/2022,11:43,1,70,18,14,,,,,,,,,,
stn03,7/12/2022,11:43,2,35,8,11,,,,,,,,,,
stn03,7/12/2022,11:43,3.5,95,12.2,16,,,,,,,,,,
stn03,7/12/2022,11:43,4.5,90,32.8,33,,,,,,,,,,
stn03,7/12/2022,11:43,7,30,8.6,8,,,,,,,,,,
stn03,7/12/2022,11:43,9,70,21.2,14,,,,,,,,,,
stn03,7/12/2022,11:43,11,65,7.8,8,,,,,,,,,,
stn03,7/12/2022,11:43,14,60,13.2,22,,,,,,,,,,
stn03,7/22/2022,11:32,0,65,27,33,,,,,,,,,,
stn03,7/22/2022,11:32,3,60,23.6,48,,,,,,,,,,
stn03,7/22/2022,11:32,5,65,40,74,,,,,,,,,,
stn03,7/22/2022,11:32,7,40,8.4,14,,,,,,,,,,
stn03,7/22/2022,11:32,9,65,19.6,42,,,,,,,,,,
stn03,7/22/2022,11:32,11,40,7.2,10,,,,,,,,,,
stn03,7/22/2022,11:32,12,60,8.8,20,,,,,,,,,,
stn03,7/22/2022,11:32,13,65,7.6,16,,,,,,,,,,
stn04,6/10/2022,10:30,0,80,4.6,6,,,,,,,,,,
stn04,6/10/2022,10:30,2,43,5.166666667,6,,,,,,,,,,
stn04,6/10/2022,10:30,4,40,5.4,6,,,,,,,,,,
stn04,6/10/2022,10:30,6,55,4,7,,,,,,,,,,
stn04,6/10/2022,10:30,8,55,4.6,7,,,,,,,,,,
stn04,6/10/2022,10:30,10,40,5.6,8,,,,,,,,,,
stn04,6/10/2022,10:30,12,45,8.6,10,,,,,,,,,,
stn04,6/10/2022,10:30,14,25,6.8,7,,,,,,,,,,
stn04,6/10/2022,10:30,16,40,4.2,4,,,,,,,,,,
stn04,6/29/2022,12:09,0,80,20,30,,,,,,,,,,
stn04,6/29/2022,12:09,2,50,4.4,6,,,,,,,,,,
stn04,6/29/2022,12:09,4,50,7,9,,,,,,,,,,
stn04,6/29/2022,12:09,6,60,7,14,,,,,,,,,,
stn04,6/29/2022,12:09,8,55,6.4,10,,,,,,,,,,
stn04,6/29/2022,12:09,10,40,7.4,9,,,,,,,,,,
stn04,6/29/2022,12:09,12,45,10.4,12,,,,,,,,,,
stn04,6/29/2022,12:09,14,25,8.6,12,,,,,,,,,,
stn04,6/29/2022,12:09,16,50,5.4,9,,,,,,,,,,
stn04,7/12/2022,11:43,0,60,29,37,,,,,,,,,,
stn04,7/12/2022,11:43,2,55,6.4,9,,,,,,,,,,
stn04,7/12/2022,11:43,4,45,10,11,,,,,,,,,,
stn04,7/12/2022,11:43,6,60,9.4,10,,,,,,,,,,
stn04,7/12/2022,11:43,8,50,8,10,,,,,,,,,,
stn04,7/12/2022,11:43,10,35,10.2,12,,,,,,,,,,
stn04,7/12/2022,11:43,12,60,13.2,16,,,,,,,,,, 
stn04,7/12/2022,11:43,14,40,12.2,16,,,,,,,,,,
stn04,7/22/2022,10:55,0,70,19,28,,,,,,,,,,
stn04,7/22/2022,10:55,3,75,5.2,4,,,,,,,,,,
stn04,7/22/2022,10:55,5,65,5.2,4,,,,,,,,,,
stn04,7/22/2022,10:55,7,55,7.6,12,,,,,,,,,,
stn04,7/22/2022,10:55,9,65,8.8,14,,,,,,,,,,
stn04,7/22/2022,10:55,11,45,8.8,10,,,,,,,,,,
stn04,7/22/2022,10:55,13,40,9.2,12,,,,,,,,,,
stn04,7/22/2022,10:55,14,25,11.2,14,,,,,,,,,,
